key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
space,25.936335,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.0041600000113249,1.4989800000330433,2.020085000025574,2.517745000019204,3.0442750000511296,3.5387250000494532,4.009500000043772,4.519770000013523,5.040510000020731,5.54191000002902,6.061719999997877,6.563430000038352,7.094520000042394,7.5977249999996275,8.091040000028443,8.578330000047572,9.065850000013597,9.58245500002522,10.101730000053067]",space,1.27596,0.0,0.0,0.0,3.0,1.0,block_2/strong_t_119_4.wav,timbre,t,strong,119.0,2.380207574,12.24809873,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6320200000191107,2.103850000014063,2.9712500000023283,3.876040000002831,4.823184999986552,5.60964999999851,6.37778999999864,7.145040000032168,7.995929999975488,8.804034999979194,9.6581400000141,10.546960000006948,11.413319999992382,12.243330000026617,13.003499999991618,13.8428750000312,14.697999999974854,15.503329999977723]",space,1.34069,0.0,1.0,1.0,2.0,1.0,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.922330121,17.89675189,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.4962200000300072,2.0681300000287592,2.613210000039544,3.235790000006091,3.819815000053495,4.3798250000108965,4.929050000035204,5.520240000041667,6.105985000031069,6.680710000044201,7.223920000018552,7.851900000008754,8.440870000049472,8.985070000053383,9.56782000005478,10.169655000034254,10.781405000016093,11.398550000041723]",space,1.245055,0.0,2.0,2.0,0.0,1.0,block_1/medium_n_105_3.wav,no,n,medium,105.0,1.683245346,13.36533151,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[6.315510000044014,6.849250000028405,7.363345000019763,7.8794850000413135,8.41788500000257,8.976130000024568,9.490140000008978,10.032110000029206]",space,0.802565,0.0,3.0,3.0,1.0,1.0,block_2/medium_t_119_4.wav,timbre,t,medium,119.0,2.073396767,11.89421309,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_105_3.wav,no,n,none,105.0,2.216733946,14.87818519,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,space,6.512215,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[3.2361650000093505,4.050064999959432,5.731899999955203,6.322649999987334,6.9491500000003725,7.80375500000082,8.884184999973513,10.077720000001136,11.017389999993611]",space,0.48578,0.0,0.0,0.0,6.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_119_3.wav,no,n,none,119.0,1.932281918,14.89500301,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[3.7195100000244565,4.111779999977443,4.911889999988489,5.900559999980032,6.421395000012126,6.8142550000338815,7.212475000007544,7.931359999987762,8.326635000004899,8.752559999993537,9.141325000033248,9.581170000019483,10.04505000001518,10.448800000012852,10.865864999999758,11.234295000031125,11.640684999991208,12.324744999990799,12.684750000014901,13.102855000004638]",space,0.937975,0.0,1.0,1.0,24.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_119_4.wav,no,n,medium,119.0,1.261396351,9.568471181,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9050550000392832,1.411705000034999,1.8285600000526756,2.2521249999990687,2.7199300000211224,3.1284600000362843,3.5634700000518933,3.9741350000258535,4.378105000010692,4.845545000047423,5.2972800000570714,5.802590000035707,6.240535000048112,6.72535500000231,7.185510000039358,7.625720000010915,8.057520000031218,8.511170000012498]",space,1.012445,0.0,2.0,2.0,17.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_72_3.wav,no,n,strong,72.0,2.03136762,17.09667374,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.4444150000344962,2.235035000019707,3.0289300000295043,3.803220000001602,4.578039999993052,5.3312150000128895,6.123674999980722,6.841290000011213,7.599945000023581,8.387195000017527,9.191225000016857,9.914815000025555,10.658304999989923,11.435890000022482,12.177499999990687,12.983605000015814,13.718310000025667,14.53025000001071,15.311244999989867]",space,0.58362,0.0,3.0,3.0,32.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_105_3.wav,no,n,weak,105.0,1.738990723,13.41450093,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[4.827014999988023,5.862550000019837,7.252730000007432,8.425854999979492,10.71259499998996,11.315775000024587,11.862224999989849]",space,1.217685,0.0,4.0,4.0,27.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_92_4.wav,no,n,none,92.0,1.296817987,15.18938035,,,yes,"apple earbuds, wired",1,no,F,29,R,yes,1,2020-11-04_17h32.29.185,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[4.336615000036545,4.87292500003241,5.521375000011176,6.045749999990221,6.599534999986645,7.135215000016615,7.722675000026356,9.549095000023954,10.057990000001155,10.758825000026263,11.460940000019036,12.383659999992233,14.645384999981616]",space,0.582835,0.0,5.0,5.0,19.0,1.0,,,,,,,,,,,,,,
