key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,17.503,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8830000000000098,1.0820000000000078,1.38600000000001,1.706000000000003,1.9780000000000086,2.1779999999999973,2.38600000000001,3.0260000000000105,3.682000000000002,3.950000000000003,4.186000000000007,5.487000000000023,6.162999999999997,6.8559999999999945,8.13900000000001,8.965000000000003]",space,2.164,0.0,0.0,0.0,3.0,1.0,block_2/weak_t_119_2.wav,timbre,t,weak,119.0,2.180699762,12.4495433,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8359999999999843,1.1319999999999908,1.279999999999987,1.7059999999999889,1.8629999999999995,2.2309999999999945,2.3989999999999867,2.7849999999999966,2.9709999999999894,3.215999999999994,3.4279999999999973,3.9839999999999947,4.220999999999989,4.592000000000013,4.7949999999999875,5.199999999999989,5.401999999999987,5.705999999999989,5.925999999999988,6.178999999999988,6.382999999999996,6.721999999999994,7.063999999999993,7.430999999999997,7.631,8.190999999999988,8.36699999999999,8.98299999999999]",space,0.668,0.0,1.0,1.0,2.0,1.0,block_1/weak_n_119_1.wav,no,n,weak,119.0,1.75153664,11.06591306,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.402000000000001,2.73599999999999,3.089999999999989,3.4339999999999975,3.8349999999999937,4.323999999999998,4.777999999999992,4.947000000000003,5.117999999999995,5.393999999999991,5.665999999999997,6.045000000000002,6.501999999999995,6.975999999999985,7.402000000000015,7.886000000000024,8.25800000000001,8.433999999999997,8.629000000000019,8.842000000000013,9.058000000000021,9.274000000000001,9.552999999999997,9.811000000000007,10.058000000000021,10.318000000000012,10.590000000000003,10.824000000000012,11.058999999999997,11.28200000000001,11.54600000000002,11.804000000000002,12.04000000000002,12.259000000000015,12.563000000000017,12.765000000000015,12.968000000000018,13.186000000000007,13.373000000000019,13.54600000000002]",space,1.115,0.0,2.0,2.0,1.0,1.0,block_2/none_t_119_1.wav,timbre,t,none,119.0,1.172164666,14.53370662,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.8950000000000102,2.6189999999999998,3.4140000000000157,4.156000000000006,4.915999999999997,5.6580000000000155,6.436000000000007,7.431000000000012,8.194000000000017,8.832999999999998,9.542000000000002,10.205999999999989,10.977000000000004,11.74199999999999,12.506,13.274000000000001,14.016999999999996,14.744,15.469999999999999]",space,0.957,0.0,3.0,3.0,0.0,1.0,block_1/strong_n_81_2.wav,no,n,strong,81.0,1.560205308,16.72288105,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_105_1.wav,no,n,strong,105.0,1.182925411,14.58124741,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,space,9.517,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9960000000000093,1.6230000000000189,2.296999999999997,2.9650000000000034,3.686000000000007,4.356999999999999,4.956999999999994,5.657000000000011,6.349000000000018,7.0449999999999875,7.652999999999992,8.365000000000009,9.052999999999997,9.869,10.366000000000014,11.042000000000002,11.735000000000014,12.393,13.120000000000005,13.76000000000002]",space,0.997,0.0,0.0,0.0,13.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_92_1.wav,no,n,weak,92.0,2.164314711,15.90903126,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.929000000000002,1.0980000000000132,1.3499999999999943,1.5370000000000061,1.7040000000000077,1.875,2.0430000000000064,2.234000000000009,2.4010000000000105,2.7690000000000055,2.9550000000000125,3.1399999999999864,3.3290000000000077,3.530000000000001,3.7319999999999993,3.968999999999994,4.153999999999996,4.490000000000009,4.676000000000016,4.844999999999999,5.0260000000000105,5.2520000000000095,5.420000000000016,5.8089999999999975,6.009999999999991,6.5,6.685000000000002,7.395999999999987,8.155000000000001,8.340000000000003,8.489000000000004,9.12100000000001,10.009000000000015,10.745000000000005,11.51400000000001,12.25800000000001,12.953000000000003,13.520999999999987]",space,0.758,0.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_119_1.wav,no,n,weak,119.0,2.415285966,11.72966238,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.164999999999992,1.502999999999986,2.2959999999999923,2.937999999999988,3.617999999999995,4.270999999999987,4.850999999999999,5.503999999999991,6.185999999999979,6.804000000000002,7.478999999999985,8.103999999999985,8.713999999999999,9.37100000000001]",space,0.42,0.0,2.0,2.0,38.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_72_2.wav,no,n,none,72.0,1.052198767,23.70630308,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.26900000000000546,1.9399999999999977,2.180000000000007,2.859999999999985,3.532999999999987,4.268000000000001,5.003999999999991,5.740000000000009,6.38300000000001,7.056999999999988,7.692000000000007,8.373999999999995,9.052999999999997,9.804000000000002,10.524000000000001,11.32899999999998,12.156000000000006,12.87700000000001,13.64500000000001,14.40100000000001,15.20399999999998,15.954999999999984,16.732,17.50200000000001,18.304000000000002,19.07899999999998,19.90700000000001,20.834000000000003,21.756,22.524]",space,0.639,0.0,3.0,3.0,16.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_81_1.wav,no,n,medium,81.0,1.755173496,15.75716896,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.7489999999999952,2.4099999999999966,3.1330000000000098,3.7760000000000105,4.467000000000013,5.15900000000002,5.900000000000006,6.661000000000001,7.247000000000014,7.912000000000006,8.603000000000009,9.287000000000006,10.055000000000007,10.991000000000014,11.50800000000001,12.135999999999996,12.806000000000012,13.467000000000013,14.198999999999984]",space,0.522,0.0,4.0,4.0,31.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_92_2.wav,no,n,medium,92.0,1.321097132,12.85819464,,,,no,,3 years piano as a child and choir through high school,,,,,,1,2020-10-03_10h29.30.435,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.42099999999999227,1.0439999999999827,1.9239999999999782,2.6999999999999886,3.3279999999999745,3.9499999999999886,4.558999999999969,5.200999999999965,5.824000000000012,6.507999999999981,7.395999999999958,8.020999999999958,8.694999999999993,9.394000000000005,10.115999999999985,10.771999999999991,11.372000000000014]",space,0.621,0.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,
