key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,2.733,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.5020000000000095,2.399000000000001,3.186000000000007,4.138000000000005,4.930000000000007,5.875,6.734000000000009,7.703000000000003,8.584000000000003]",space,0.945,0.0,0.0,0.0,1.0,1.0,block_2/medium_n_119_4.wav,no,n,medium,119.0,1.224634286,9.531709116,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.0229999999999961,1.907999999999987,3.6759999999999877,4.828999999999979,5.7879999999999825,6.822000000000003,7.885999999999996,9.025999999999982,10.054999999999978,11.07899999999998]",space,1.021,0.0,1.0,1.0,2.0,1.0,block_2/weak_n_105_4.wav,no,n,weak,105.0,1.982674472,12.75578105,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.0180000000000007,1.9020000000000152,2.9170000000000016,3.920000000000016,4.8870000000000005,5.88300000000001,6.925000000000011,7.923000000000002,9.068000000000012,10.100000000000023]",space,0.852,0.0,2.0,2.0,3.0,1.0,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.752316959,11.57313329,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.0229999999999961,1.8910000000000196,2.9579999999999984,3.842000000000013,4.473000000000013,5.501000000000005,6.301000000000016,7.195000000000022,8.109000000000009,9.039999999999992,9.939999999999998,10.806000000000012,11.700999999999993,12.677999999999997,13.49799999999999,14.323000000000008,15.37700000000001]",space,0.581,0.0,3.0,3.0,0.0,1.0,block_2/none_n_92_3.wav,no,n,none,92.0,2.306164339,18.20620969,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_119_4.wav,timbre,t,weak,119.0,1.438381355,12.04736095,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,space,3.564,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.056999999999988,1.9950000000000045,2.9989999999999952,4.049000000000007,5.2620000000000005,6.294000000000011,7.527999999999992,8.512,9.542000000000002,10.504999999999995]",space,0.631,0.0,0.0,0.0,11.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_81_4.wav,timbre,t,none,81.0,1.802900323,17.84380735,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3269999999999982,1.342000000000013,2.4150000000000205,3.487000000000023,4.686000000000007,5.918000000000006,7.058000000000021,8.179000000000002,9.309000000000026,10.359000000000009,11.469000000000023,12.52200000000002,13.710000000000008,14.953000000000003,16.15900000000002]",space,0.514,0.0,1.0,1.0,12.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_92_3.wav,timbre,t,weak,92.0,1.190820523,16.55263458,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4399999999999977,1.0879999999999939,1.775999999999982,2.530000000000001,3.3319999999999936,4.1229999999999905,4.913999999999987,5.828999999999979,6.661000000000001,7.509999999999991,8.22999999999999,9.016999999999996,9.658999999999992,10.45999999999998,11.299999999999983,12.040999999999997,12.86499999999998,13.668999999999983,14.369,15.163999999999987]",space,0.266,0.0,2.0,2.0,38.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_105_4.wav,timbre,t,weak,105.0,1.882880114,13.41285744,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4230000000000018,1.2839999999999918,2.734999999999985,3.7239999999999895,4.790999999999997,5.953000000000003,7.103999999999985,8.274000000000001,9.319999999999993,10.586999999999989,11.764999999999986]",space,0.391,0.0,3.0,3.0,7.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_92_4.wav,timbre,t,medium,92.0,1.590939721,14.58753836,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.31799999999998363,1.2860000000000014,2.2179999999999893,2.836999999999989,3.4609999999999843,4.1229999999999905,4.817999999999984,5.453000000000003,6.1370000000000005,6.806999999999988,7.536999999999978,8.114000000000004,8.807999999999993,9.488,10.11099999999999,10.771999999999991,11.435000000000002,12.121999999999986,12.816999999999979]",space,0.452,0.0,4.0,4.0,25.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.399295551,11.22011188,,,,yes,Bose SoundLink,18,No,m,27,R,yes,1,2020-09-25_19h37.04.527,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3739999999999952,0.9680000000000177,1.913000000000011,2.7990000000000066,3.926000000000016,4.858000000000004,5.919000000000011,6.888000000000005,7.921999999999997,9.098000000000013,10.064000000000021]",space,0.267,0.0,5.0,5.0,30.0,1.0,,,,,,,,,,,,,
