key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,24.20358,"[""space"",""space"",""space"",""space"",""space"",""space""]","[3.0677649999270216,4.70167500001844,5.905969999963418,6.894474999979138,8.601369999931194,9.991904999944381]",space,1.58779,0.0,0.0,0.0,3.0,1.0,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.752316959,11.57313329,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.9679949999554083,2.822965000057593,3.712210000026971,4.562645000056364,5.5762500000419095,6.57441000000108,7.457784999976866,8.392600000021048,9.268189999973401,10.220515000051819,11.167625000001863,12.134059999953024,13.025514999986626,13.946735000004992,14.807905000052415,15.734790000016801]",space,0.677915,0.0,1.0,1.0,0.0,1.0,block_2/none_n_92_3.wav,no,n,none,92.0,2.306164339,18.20620969,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.293695000000298,1.0571150000905618,1.4957600000780076,2.108059999998659,2.7637950000353158,3.6733600000152364,4.617375000030734,5.340390000026673,5.876325000077486,6.818415000103414,7.441645000013523,8.385315000079572,9.004584999987856,10.302224999992177,10.92848000000231]",space,0.545815,0.0,2.0,2.0,2.0,1.0,block_2/weak_n_105_4.wav,no,n,weak,105.0,1.982674472,12.75578105,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9164899999741465,1.7186699999729171,2.1954050000058487,2.5751999999629334,3.180409999913536,3.5904999999329448,3.892619999940507,4.4375899999868125,4.979519999935292,5.43343500001356,5.863139999913983,6.352299999911338,6.854199999943376,7.2347699999809265,7.70066999993287,8.136744999908842]",space,0.51661,0.0,3.0,3.0,1.0,1.0,block_2/medium_n_119_4.wav,no,n,medium,119.0,1.224634286,9.531709116,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_81_4.wav,timbre,t,strong,81.0,1.870008989,16.22765071,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,space,3.597645,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3789450000040233,1.493434999953024,2.252444999990985,3.0267199999652803,3.7437449999852106,4.521425000042655,5.23925500002224,5.985340000013821,6.683064999990165,7.434430000022985,8.151964999968186,8.857264999998733,9.574930000002496,10.396575000020675,11.149364999961108,11.839350000023842,12.607349999947473,13.302024999982677,14.040060000028461,14.763610000023618]",space,0.614475,0.0,0.0,0.0,34.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_105_4.wav,timbre,t,medium,105.0,2.498438995,14.23458412,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.4407549999887124,2.090650000027381,2.8592950000893325,3.5688950000330806,5.621420000097714,6.694239999982528,7.89667000004556,9.652485000086017,10.38428500003647,11.468065000022762]",space,0.647475,0.0,1.0,1.0,23.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_81_3.wav,timbre,t,none,81.0,2.10326082,21.36648077,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8947349999798462,1.6635199999436736,2.534144999925047,3.960899999947287,5.303334999945946,6.419690000009723,7.633655000012368,8.95484999998007,10.272439999971539,11.331209999974817,12.740244999993593,14.1619649999775,15.74105499999132,17.276194999925792,18.951245000003837]",space,0.418405,0.0,2.0,2.0,10.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_119_4.wav,timbre,t,none,119.0,1.977931805,11.04042614,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.7727200000081211,1.51156000001356,2.3707749999593943,2.9663500000024214,4.138534999918193,5.200994999962859,6.291334999958053,7.53132499998901,8.676570000010543]",space,1.367995,0.0,3.0,3.0,27.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_105_4.wav,timbre,t,strong,105.0,2.094581561,12.21235934,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.112044999958016,1.4774349998915568,1.8732299999101087,2.335414999979548,2.8537299999734387,3.35187999997288,3.797915000002831,4.370484999963082,4.827049999963492,5.321199999889359,5.861294999951497,6.357529999921098,6.836219999939203,7.341819999972358,7.86956999998074,8.359364999923855,8.827429999946617,9.33861499989871,9.84981499996502,10.416769999894314]",space,0.694835,0.0,4.0,4.0,18.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_119_4.wav,timbre,t,strong,119.0,1.237037075,11.10492823,,,,yes,bose qc35,8,no,f,35,L,Yes,1,2020-09-16_12h17.20.371,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5178199999500066,1.0093649999471381,1.4808450000127777,2.0345749999396503,2.5191300000296906,2.9523849999532104,3.510729999979958,4.040900000021793,4.5590350000420585,4.943869999959134,5.533919999958016,6.067339999950491,6.6009049999993294,7.101385000045411,7.549914999981411,8.046375000034459,8.582915000035428,9.106499999994412,9.621539999963716,10.14461499999743]",space,0.50678,0.0,5.0,5.0,39.0,1.0,,,,,,,,,,,,,
