key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,13.357735,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[3.344519999984186,3.7444649999961257,4.171180000004824,4.6243499999982305,5.138090000022203,5.576449999993201,6.064385000034235,6.54425999999512,7.0081300000310875,7.464405000035185,7.907430000021122,8.36019999999553]",space,1.72655,0.0,0.0,0.0,1.0,1.0,block_2/medium_n_119_4.wav,no,n,medium,119.0,1.224634286,9.531709116,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.1832399999839254,2.671440000005532,3.4388550000148825,4.294374999997672,5.107194999989588,6.094169999996666,7.103260000003502,8.07269499998074,8.934680000005756,10.07055499998387,11.175204999977723,12.014395000005607,13.014770000008866,13.91106499999296,14.88267999998061,15.71045499999309]",space,1.1571,0.0,1.0,1.0,0.0,1.0,block_2/none_n_92_3.wav,no,n,none,92.0,2.306164339,18.20620969,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[3.1245249999919906,3.517475000000559,4.028749999997672,4.460560000035912,4.909500000008848,5.412335000000894,5.892195000022184,6.39630500000203,6.892185000004247,7.405469999997877,7.909250000026077,8.511969999992289,8.996335000032559,9.511930000036955,10.012730000016745]",space,1.70046,0.0,2.0,2.0,3.0,1.0,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.752316959,11.57313329,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.0755500000086613,2.67531500000041,3.1631449999986216,3.656215000024531,4.2062150000128895,4.852085000020452,5.44310500001302,5.923654999991413,6.467085000011139,6.995745000021998,7.499074999999721,8.019209999998566,8.515554999990854,9.051199999987148,9.571165000030305,10.099370000010822,10.612030000018422]",space,1.71793,0.0,3.0,3.0,2.0,1.0,block_2/weak_n_105_4.wav,no,n,weak,105.0,1.982674472,12.75578105,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_92_4.wav,timbre,t,strong,92.0,1.022726917,13.26377,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,space,6.58184,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.405284999986179,3.0876249999855645,3.7384999999776483,4.3393250000081025,4.989149999979418,5.639945000002626,6.275284999981523,6.924330000008922,7.5746950000175275,8.1260749999783,8.793780000007246,9.410444999986794,10.077884999976959,10.711324999982025,11.328334999969229,11.962605000007898,12.630409999983385]",space,1.62047,0.0,0.0,0.0,9.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_81_3.wav,timbre,t,medium,81.0,1.352794873,13.94617356,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.019365000014659,2.6863550000125542,3.3717600000090897,4.071200000005774,4.771260000008624,5.3720699999830686,5.990020000026561,6.706575000018347,7.356865000037942,7.9917799999821,8.641745000029914,9.30967500002589,9.976680000021588,10.62826500000665,11.278805000009015,11.913274999998976,12.546030000026803]",space,1.68951,0.0,1.0,1.0,8.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_105_3.wav,timbre,t,none,105.0,2.248615294,16.06934092,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.492484999995213,3.395409999997355,3.870794999995269,4.275555000000168,4.624015000008512,5.163995000009891,5.731805000046734,6.211615000036545,6.763850000046659,7.251770000031684,7.756165000027977,8.310605000006035,8.860900000028778,9.388680000032764,9.971890000044368,10.555615000019316,11.11549500003457,11.694850000028964,12.307825000025332,12.877360000042245,13.446395000035409,14.051934999995865]",space,1.08747,0.0,2.0,2.0,14.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_105_3.wav,timbre,t,weak,105.0,2.038080476,13.26905553,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.4815250000101514,2.976810000021942,3.6979600000195205,4.265695000009146,4.841784999996889,5.401205000001937,5.913219999987632,6.449460000032559,7.0434450000175275,7.632900000025984,8.233355000033043,8.778370000014547,9.281164999993052,9.779329999990296,10.353204999992158,11.056860000011511]",space,0.914055,0.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_119_4.wav,timbre,t,none,119.0,1.977931805,11.04042614,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.4408200000179932,2.0570750000188127,2.753114999970421,3.3931699999957345,4.121649999986403,4.823099999979604,5.488550000009127,6.201884999987669,6.940925000002608,7.681044999975711,8.362145000020973,9.093294999969658]",space,1.63673,0.0,4.0,4.0,27.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_81_3.wav,timbre,t,strong,81.0,2.437587677,17.65296183,,,,Yes,Sennheiser CX300,16,no,m,30,R,Yes,1,2020-09-16_13h54.10.653,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5895500000333413,1.6173149999813177,2.416060000017751,3.272850000008475,4.055090000038035,4.806329999992158,5.549670000036713,6.3494250000221655,7.125694999995176,7.90958999999566,8.638455000007525,9.41350500000408,10.286070000031032,11.229770000034478,11.702155000006314,12.558599999989383,13.303209999983665,14.069910000020172,14.837850000010803]",space,0.97085,0.0,5.0,5.0,24.0,1.0,,,,,,,,,,,,,
