key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
space,13.70124,"[""space""]",[9.062110000000075],space,1.88505,0.0,0.0,0.0,1.0,1.0,block_2/medium_t_119_4.wav,timbre,t,medium,119.0,2.073396767,11.89421309,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.6128349999999045,3.180804999999964,3.7414799999999104,4.34069999999997,4.924735000000055,5.517170000000064,6.109290000000101,6.7011099999999715,7.277589999999918,7.83800999999994,8.429090000000087,9.0463400000001,9.64736999999991,10.189004999999952,10.7654500000001,11.4054000000001]",space,1.06901,0.0,1.0,1.0,0.0,1.0,block_1/medium_n_105_3.wav,no,n,medium,105.0,1.683245346,13.36533151,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.9562249999998755,2.523239999999973,3.0409549999999257,3.557199999999952,4.059259999999966,4.554579999999987,5.043574999999905,5.529674999999983,6.2777099999998285,6.611584999999863,7.097694999999916,7.564569999999989,8.071354999999798,8.60713999999983,9.0879699999998,9.576294999999831,10.082429999999917]",space,0.94396,0.0,2.0,2.0,3.0,1.0,block_2/strong_t_119_4.wav,timbre,t,strong,119.0,2.380207574,12.24809873,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[3.068870000000061,3.9386449999999513,4.85376999999994,5.676969999999983,5.839439999999968,6.485685000000103,7.291335000000117,8.108355000000074,8.876860000000079,9.681749999999965,10.51188000000002,11.41306499999996,12.267444999999952,13.066000000000031,13.932365000000118,14.761874999999918,15.593795]",space,0.723025,0.0,3.0,3.0,2.0,1.0,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.922330121,17.89675189,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.441009476,17.41543124,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,space,8.26647,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.237235000000055,3.098694999999907,4.006444999999971,4.891380000000041,5.6916949999999815,6.498484999999846,7.344849999999951,8.202804999999898,9.001250000000027,9.849789999999985,10.643154999999979,11.46577000000002,12.345685000000003,13.193399999999883,14.003879999999981,14.837544999999864,15.672855000000027]",space,0.902755,0.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_81_4.wav,no,n,medium,81.0,1.742854158,16.25138024,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.6029600000001665,2.3521950000001652,3.1284250000001066,3.905134999999973,4.569200000000137,5.294520000000148,6.049985000000106,6.817490000000134,7.539690000000064,8.326620000000048,9.126899999999978,9.792200000000093,10.520745000000034,11.245769999999993,11.96574499999997,12.687535000000025,13.447765000000118,14.198485000000119]",space,4.73385,0.0,1.0,1.0,38.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_105_4.wav,no,n,none,105.0,1.493653366,16.97025201,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.73170499999992,3.1951050000000123,3.6586549999999534,4.1647399999999095,4.667085000000043,5.2349449999999536,5.78207499999985,6.376544999999851,7.044364999999971,7.670965000000024,8.5007599999999,9.963984999999866,10.635669999999891,11.282929999999851,11.971804999999904,12.675025000000005,13.395274999999856,14.180519999999888,15.029039999999895]",space,0.75421,0.0,2.0,2.0,14.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_119_3.wav,no,n,weak,119.0,2.459758036,10.81612992,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.0971949999998287,2.5459849999999733,2.9777349999999387,3.4514149999999972,3.8576200000000256,4.274414999999863,4.6742199999998775,5.141480000000001,5.529170000000022,5.938209999999799,6.3287699999998495,6.737294999999904,7.201954999999998,7.618234999999913,8.073490000000021,8.537464999999884]",space,0.99687,0.0,3.0,3.0,37.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_105_3.wav,no,n,weak,105.0,1.738990723,13.41450093,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[4.729285000000118,5.392749999999978,6.168175000000019,6.944790000000012,7.694835000000012,8.432984999999917,9.233060000000023,9.922019999999975,10.55224999999993,11.243015000000014,11.857604999999921]",space,0.58521,0.0,4.0,4.0,27.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_119_3.wav,no,n,medium,119.0,1.238363393,11.09976929,,,no,na,0,no,m,37,R,Yes,1,2020-11-05_09h19.11.832,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.48433,2.8995299999999133,3.3053050000000894,3.643624999999929,4.051484999999957,4.590779999999995,5.042834999999968,5.776595000000043,6.219835000000103,6.711189999999988,7.178235000000086,7.645909999999958,8.113080000000082,8.605289999999968,9.08086000000003,9.53954500000009,10.0151350000001]",space,0.807095,0.0,5.0,5.0,22.0,1.0,,,,,,,,,,,,,,
