key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
space,6.393835,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.6487299999862444,2.373410000000149,3.059204999997746,3.74115499999607,4.491165000014007,5.276559999998426,6.0657049999863375,6.905209999997169,7.692520000011427,8.438055000005988,9.237655000004452,9.949924999993527,10.677575000008801,11.354670000000624,12.171685000008438,12.845215000008466,17.51610000000801]",space,2.491305,0.0,0.0,0.0,2.0,1.0,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.922330121,17.89675189,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.555610000010347,1.2529199999989942,2.0855999999912456,2.7756700000027195,3.472509999992326,3.7154349999909755,4.4125800000038,4.911049999995157,5.544605000002775,6.045805000001565,6.496509999997215,6.930244999995921,7.378319999988889,7.862005000002682,8.427960000000894,8.928509999997914,9.446155000012368,9.980260000011185]",space,1.85531,0.0,1.0,1.0,1.0,1.0,block_2/medium_t_119_4.wav,timbre,t,medium,119.0,2.073396767,11.89421309,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4599900000030175,1.1348050000087824,1.5905450000136625,2.0709849999984726,2.571939999994356,3.1902199999894947,3.816930000000866,4.393054999993183,4.933740000007674,5.551290000003064,6.107950000005076,6.7060899999924,7.246099999989383,7.80634499998996,8.351894999999786,8.9719150000019,9.568269999988843,10.134209999989253,10.738234999997076,11.359774999989895,11.952294999995502]",space,1.054265,0.0,2.0,2.0,0.0,1.0,block_1/medium_n_105_3.wav,no,n,medium,105.0,1.683245346,13.36533151,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.43174999998882413,0.910505000007106,1.473954999994021,1.9894750000094064,2.5296549999911804,3.0301949999993667,3.5546399999875575,4.035329999984242,4.521399999997811,5.054940000001807,5.531790000008186,6.054230000008829,6.53493999998318,7.0561699999962,7.573029999999562,8.092864999984158,8.540585000009742,9.07216999999946,9.584934999991674,10.084774999995716]",space,1.19681,0.0,3.0,3.0,3.0,1.0,block_2/strong_t_119_4.wav,timbre,t,strong,119.0,2.380207574,12.24809873,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_72_3.wav,no,n,strong,72.0,2.03136762,17.09667374,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,space,10.408335,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.517584999994142,1.0937599999888334,1.8165900000021793,2.316579999984242,3.0864200000069104,3.8333249999850523,4.6159849999821745,5.3324699999939185,6.150040000007721,6.866959999984829,7.713445000001229,8.456319999997504,9.2886549999821,10.004140000004554,10.79079999998794,11.594964999996591,12.370599999994738,13.111329999985173,13.88865499998792,14.635069999989355,15.333094999979949]",space,1.71743,0.0,0.0,0.0,32.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_81_4.wav,no,n,strong,81.0,1.727706814,17.69954355,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4898899999971036,0.9755500000028405,1.7174249999807216,2.5650949999981094,3.3676549999800045,4.252089999994496,4.983854999998584,5.774210000003222,6.507084999990184,7.366179999982705,8.20050999999512,9.017089999979362,9.80048999999417,10.603499999997439,11.39947000000393,12.246649999986403,13.117004999978235,13.867559999984223,14.715714999998454,15.484295000002021,16.295974999986356]",space,0.74201,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_92_3.wav,no,n,none,92.0,2.336707073,18.23675242,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.30750999998417683,0.7307999999902677,0.9995499999786261,1.2363949999853503,1.534044999978505,1.7233099999721162,1.9552749999857042,2.2746599999954924,2.553764999989653,2.8597049999807496,3.3427799999772105,3.6513099999865517,3.834794999973383,4.136059999989811,4.38401999999769,4.6155499999877065,4.85060499998508,5.136674999987008,5.365104999975301,5.616124999971362,5.85341999999946,6.066264999972191,6.315299999987474,6.5650299999979325,6.800894999993034,7.04934499997762,7.250509999983478,7.467084999982035,7.669409999973141,7.9340399999928195,8.250014999997802,8.483159999974305,8.681414999999106,8.898729999986244,9.132419999979902,9.365729999990435,9.636520000000019,10.084339999972144,10.314769999997225,10.516684999980498,10.736729999975068,10.980109999974957,11.242759999993723,11.500024999986636,11.753564999991795,12.015814999991562,12.267229999997653,12.516859999974258,12.769189999991795,13.011649999971269,13.255859999975655,13.487534999992931,13.733989999978803,13.96921999999904,14.184789999999339,14.427879999973811,14.673624999995809,14.92581999997492,15.149459999985993,15.466184999997495,15.934824999974808,16.18338999999105]",space,0.798445,0.0,2.0,2.0,25.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_105_3.wav,no,n,none,105.0,2.216733946,14.87818519,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.36345999999321066,0.704939999995986,1.1266450000111945,1.5070399999967776,1.8529550000093877,2.4300700000021607,2.7343699999910314,3.1803099999960978,3.5030949999927543,3.866699999984121,4.100960000010673,4.333199999993667,4.571735000004992,4.833344999991823,5.084464999992633,5.351634999999078,5.621809999982361,5.866764999984298,6.07563000000664,6.284049999987474,6.511989999999059,6.950725000002421,7.168379999988247,7.373079999990296,7.599235000001499,7.804644999996526,7.990814999997383,8.233384999999544,8.44305999999051,8.666100000002189,8.873235000006389,9.079939999995986,9.30392999999458,9.509339999989606,9.74569499999052,9.970499999995809,10.158100000000559,10.383730000001378,10.587754999985918,10.836630000005243,11.04258999999729,11.25002000000677,11.492635000002338,11.706225000001723,11.983840000000782,12.27113000000827,12.471805000008317,12.703565000003437,12.92556499998318]",space,0.83992,0.0,3.0,3.0,6.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_105_4.wav,no,n,medium,105.0,1.402482856,15.80924023,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6338200000172947,1.0466200000082608,1.5257350000028964,1.9350500000000466,2.2010650000011083,2.536179999995511,2.801644999999553,3.034090000001015,3.3701900000160094,3.608745000005001,3.866185000020778,4.1503000000084285,4.419790000014473,4.683569999993779,4.904615000006743,5.1338399999949615,5.349745000014082,5.58328000002075,5.817000000010012,6.070485000003828,6.319520000019111,6.549570000002859,6.738520000013523,6.968170000007376,7.248279999999795,7.472620000015013,7.718710000015562,8.102175000007264,8.391904999996768,8.906660000007832,9.575605000020005,10.33223500000895,11.048334999999497,11.832855000015115,12.54859000002034,13.29951500002062,13.998905000014929,14.698275000002468]",space,0.502755,0.0,4.0,4.0,12.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_81_3.wav,no,n,weak,81.0,1.412334255,16.47029344,,,Yes,Skullcandy Jib Earbuds,1,No,Male,36,Right,Yes,1,2020-09-07_10h21.43.606,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.33387000000220723,0.7848549999762326,1.1182799999951385,1.401914999994915,1.7845049999887124,2.217659999994794,2.5691449999867473,3.2317549999861512,3.9594149999902584,4.794189999985974,5.537254999973811,6.300264999998035,7.0140449999889825,7.764999999984866,8.564729999983683,9.24781499998062,9.948704999987967,10.678844999987632,11.403839999984484,12.157344999985071,12.924654999980703,13.634139999980107,14.523690000001807,15.184559999994235]",space,0.59456,0.0,5.0,5.0,30.0,1.0,,,,,,,,,,,,,,
