key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
space,9.59357,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.069565000001603,2.6406350000033854,3.2320350000009057,3.8525900000022375,4.4150100000006205,4.984725000002072,5.5485850000004575,6.106505000003381,6.690130000002682,7.286175000001094,7.865570000001753,8.420545000000857,9.000150000003487,9.565805000002001,10.189115000001038,10.75199000000066,11.340320000002976,11.900465000002441]",space,1.57669,0.0,0.0,0.0,0.0,1.0,block_1/medium_n_105_3.wav,no,n,medium,105.0,1.683245346,13.36533151,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5633549999984098,1.4270349999969767,2.2640149999970163,3.052754999996978,3.9788899999985006,4.873359999997774,5.713784999999916,6.537084999999934,7.373234999999113,8.15084499999648,8.958409999999276,9.820434999997815,10.688429999998334,11.53456499999811,12.310324999998556,13.193544999998267,13.969214999997348,14.786519999997836,15.636389999999665]",space,0.678635,0.0,1.0,1.0,2.0,1.0,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.922330121,17.89675189,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.0846700000001874,2.7171199999975215,3.450809999998455,4.171504999998433,4.861604999998235,5.57350999999835,6.285109999997076,7.04207999999926,7.708564999997179,9.119114999997691,9.81860499999675]",space,0.64206,0.0,2.0,2.0,1.0,1.0,block_2/medium_t_119_4.wav,timbre,t,medium,119.0,2.073396767,11.89421309,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.0417799999995623,1.487955000000511,2.002909999999247,2.51048499999888,2.9915450000007695,3.4901199999985693,4.002024999997957,4.515974999998434,5.0004899999985355,5.502799999998388,6.016994999998133,6.5408299999980954,7.036564999998518,7.534684999998717,8.041069999999308,8.55917000000045,9.021495000000868,9.550859999999375,10.051465000000462]",space,0.668715,0.0,3.0,3.0,3.0,1.0,block_2/strong_t_119_4.wav,timbre,t,strong,119.0,2.380207574,12.24809873,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_81_4.wav,no,n,medium,81.0,1.742854158,16.25138024,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,space,4.487985,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8021399999997811,1.585849999999482,2.3166149999997288,3.0771199999981036,3.851989999999205,4.589259999997012,5.285029999999097,5.999899999998888,6.671879999998055,7.389874999997119,8.12304999999833,8.900389999998879,9.606149999999616,10.336664999998902,11.125294999998005,11.877414999999019,12.652964999997494,13.384394999997312,14.066514999998617]",space,0.54865,0.0,0.0,0.0,38.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_105_4.wav,no,n,medium,105.0,1.402482856,15.80924023,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space""]","[3.8591299999970943,8.739794999997684]",space,0.966505,0.0,1.0,1.0,12.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_72_4.wav,no,n,strong,72.0,1.599228342,16.96784512,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8504800000009709,1.4568550000003597,2.3178850000003877,3.0502850000011676,3.8258500000010827,4.615875000003143,5.406190000001516,6.193865000001097,6.98408500000005,7.775875000002998,8.56163000000015,9.342319999999745,10.183945000000676,10.959415000001172,11.744165000000066,12.517485000000306,13.338105000002543,14.07340000000113,14.870795000002545,15.718195000001288]",space,0.59274,0.0,2.0,2.0,35.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_81_3.wav,no,n,medium,81.0,1.199970007,16.72060493,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2871449999984179,1.0025749999986147,1.6035400000000664,2.190855000000738,2.951564999999391,3.8377399999990303,4.558720000000903,5.375804999999673,6.145019999999931,7.003160000000207,7.850094999997964,8.566944999998668,9.39277999999831,10.241415000000416,11.060344999998051,11.85713499999838,12.6838800000005,13.42641999999978,14.292975000000297,15.108130000000529]",space,0.434515,0.0,3.0,3.0,33.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_72_3.wav,no,n,strong,72.0,2.03136762,17.09667374,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.31036500000118394,0.952965000000404,1.5353800000011688,2.2521600000000035,3.0423200000004726,3.795154999999795,4.536579999999958,5.342089999998279,6.120835000001534,6.880249999998341,7.669965000000957,8.510709999998653,9.242089999999735,10.018905000000814,10.759519999999611,11.527460000001156,12.353315000000293,13.068879999998899,13.791850000001432,14.59175999999934,15.369344999999157]",space,0.520075,0.0,4.0,4.0,32.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_72_3.wav,no,n,weak,72.0,1.008682366,16.87657352,,,Yes,Apple Earbuds,1,None,m,26,L,Yes,1,2020-09-16_13h15.20.738,kura-A2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3740600000019185,1.358009999999922,2.0510749999994005,2.7832149999994726,3.505830000001879,4.2730350000019826,5.007584999999381,5.82636999999886,6.606905000000552,7.366555000000517,8.167550000001938,8.950434999998834,9.683264999999665,10.450964999999997,11.168480000000272,12.005144999999175,12.784719999999652,13.644230000001698,14.484800000001997,15.253789999998844,16.050985000001674]",space,0.89048,0.0,5.0,5.0,8.0,1.0,,,,,,,,,,,,,,
