key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,11.79117,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9781449999427423,1.4302599999355152,1.8901199999963865,2.3458049999317154,2.8061349999625236,3.262304999982007,3.718430000008084,4.1961799999699,4.641074999934062,5.172174999956042,5.7086799999233335,6.242064999998547,6.730645000003278,7.2583599999779835,7.741884999908507,8.37589999998454,8.889139999984764,9.430590000003576,9.975694999913685]",space,2.48936,0.0,0.0,0.0,3.0,1.0,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.752316959,11.57313329,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.27038500003982335,0.600150000071153,1.1384700000053272,1.6350450000027195,2.1200550000648946,2.6774000000441447,3.1350450000027195,3.629630000097677,4.104755000094883,4.614130000001751,5.114390000002459,5.647445000009611,6.0791400000452995,6.602540000109002,7.1531850000610575,7.657945000100881,8.19662500009872,8.741580000030808,9.262325000017881,9.77938500000164,10.322130000102334,10.845150000066496,11.371480000088923,11.894850000040606,12.422645000042394,12.9237050000811,13.44265500002075,13.984545000013895,14.513935000053607,15.065310000092722,15.591420000069775]",space,2.772325,0.0,1.0,1.0,0.0,1.0,block_2/none_n_92_3.wav,no,n,none,92.0,2.306164339,18.20620969,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4725849999813363,0.9888900000369176,1.4481049999594688,1.88105500000529,2.425745000015013,3.001589999999851,3.5026450000004843,4.063994999974966,4.609504999942146,5.152884999988601,5.641629999969155,6.155799999949522,6.684329999960028,7.176145000034012,7.707025000010617,8.29405999998562,8.835300000035204,9.334690000046976,9.875955000054091,10.387605000054464,10.899149999953806]",space,1.20234,0.0,2.0,2.0,2.0,1.0,block_2/weak_n_105_4.wav,no,n,weak,105.0,1.982674472,12.75578105,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.24370999995153397,0.6503299999749288,1.0853799999458715,1.4535550000146031,1.8730150000192225,2.291224999935366,2.7225849999813363,3.08507999998983,3.4870349999982864,3.906414999975823,4.363810000009835,4.81457499996759,5.298824999947101,5.793949999962933,6.234085000003688,6.665419999975711,7.176164999953471,7.6311599999899045,8.014579999959096,8.471744999988005]",space,2.863765,0.0,3.0,3.0,1.0,1.0,block_2/medium_n_119_4.wav,no,n,medium,119.0,1.224634286,9.531709116,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_105_4.wav,timbre,t,medium,105.0,2.498438995,14.23458412,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,space,8.604385,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.266730000032112,0.595629999996163,0.9547350000357255,1.3798250000691041,1.8560600000200793,2.297855000011623,2.7979599999962375,3.34195000003092,3.898700000019744,4.470440000062808,5.2603100000415,5.911365000065416,6.433090000064112,7.111845000064932,7.7839650000678375,8.350000000093132,9.041745000053197,9.667974999989383,10.25554500008002,10.82241999998223,11.448820000048727]",space,1.31619,0.0,0.0,0.0,23.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_81_4.wav,timbre,t,strong,81.0,1.870008989,16.22765071,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3199700000695884,0.665720000048168,1.4689200000138953,2.2604300000239164,3.0411849999800324,3.7118699999991804,4.410600000061095,5.14632000005804,5.893210000009276,6.6213400000706315,7.350794999976642,8.057275000028312,8.7957400000887,9.55347000004258,10.244784999988042,10.965960000059567,11.743755000061356,12.455004999996163,13.169695000047795,13.848534999997355,14.600210000062361]",space,1.80165,0.0,1.0,1.0,34.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_72_3.wav,timbre,t,medium,72.0,2.203768917,18.98399567,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.1800400000065565,0.5685000000521541,1.5073649999685585,2.3114400000777096,3.182299999985844,4.051095000002533,4.938960000057705,5.81058499997016,6.692705000052229,7.5877950000576675,8.358155000023544,9.271090000052936,10.114300000015646,10.962859999970533,11.863480000058189,12.723235000041313,13.59526500001084,14.5291000000434,15.416620000032708,16.2451000000583]",space,0.81937,0.0,2.0,2.0,31.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_119_3.wav,timbre,t,weak,119.0,1.729530605,11.14109523,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.19324000005144626,0.7177350000711158,1.146599999978207,1.568375000031665,2.00956999999471,2.4191349999746308,2.8398550000274554,3.3567950000287965,3.797770000062883,4.267059999983758,4.699750000028871,5.2227500000735745,5.735665000043809,6.157740000053309,6.604690000065602,7.102300000027753,7.578779999981634,8.087294999975711,8.569660000037402,9.026904999976978,9.51190000004135]",space,0.451125,0.0,3.0,3.0,13.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_81_4.wav,timbre,t,none,81.0,1.802900323,17.84380735,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2493549999780953,0.6110699999844655,1.040999999968335,1.4569599999813363,1.924860000028275,2.4702050000196323,2.9919150000205263,3.4640150000341237,4.042675000033341,4.5806200000224635,5.056304999976419,5.552619999973103,6.132899999967776,6.776115000015125,7.3327099999878556,7.918720000074245,8.462599999969825,8.990315000060946,9.455515000037849,10.000594999990426,10.488469999982044,11.091635000077076,11.614300000015646,12.004315000027418,12.510929999989457,12.996430000057444,13.471344999969006,13.981845000060275,14.483345000073314,15.034740000031888,15.597650000010617,16.08796000003349]",space,0.81043,0.0,4.0,4.0,12.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_72_4.wav,timbre,t,medium,72.0,1.659874932,19.69733525,,,,Yes,Grado SR125,17,,,,,,1,2020-09-14_22h18.47.480,kura-B2,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4282149999635294,0.9732200000435114,1.7579350000014529,2.576645000022836,3.512944999965839,4.082060000044294,4.599659999948926,5.468884999980219,6.524059999966994,7.451645000022836,8.381315000005998,9.299954999936745,10.229449999984354,11.198880000039935,12.122845000005327,13.000510000041686,13.838299999944866,14.720609999960288,15.58308000001125,16.56368499994278,17.425644999952056]",space,0.99368,0.0,5.0,5.0,36.0,1.0,,,,,,,,,,,,,
