key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
space,12.063875,"[""space"",""space"",""space""]","[5.876680000015767,9.36376000000746,9.836265000019921]",space,0.697475,0.0,0.0,0.0,1.0,1.0,block_2/medium_t_119_4.wav,timbre,t,medium,119.0,2.073396767,11.89421309,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.712265000009211,3.2736649999860674,3.847444999992149,4.389334999985294,4.963064999989001,5.542469999985769,6.0919599999906495,6.677880000002915,7.243335000006482,7.776114999986021,8.34297999998671,8.911995000002207,9.496985000005225,10.090454999997746,10.690224999998463,11.277644999994664,11.92429500000435]",space,0.440975,0.0,1.0,1.0,0.0,1.0,block_1/medium_n_105_3.wav,no,n,medium,105.0,1.683245346,13.36533151,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.38622999997460283,0.892214999999851,1.3820899999991525,1.858669999986887,2.408049999998184,2.8501199999882374,3.3297599999932572,3.7944100000022445,4.280004999978701,4.78030499999295,5.231709999992745,5.729504999995697,6.239579999994021,6.742519999999786,7.232239999982994,7.6656049999874085,8.17949999999837,8.665539999987232,9.108639999991283,9.679869999992661,10.192574999993667,10.713659999979427,11.19271000000299,11.707085000001825,12.249494999996386,12.780650000000605,13.214079999976093,13.766914999985602,14.241654999990715,14.794544999982463,15.349835000000894,15.886359999974957]",space,0.393485,0.0,2.0,2.0,2.0,1.0,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.922330121,17.89675189,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.0964249999960884,2.5820850000018254,3.110849999997299,3.610545000003185,4.061340000014752,4.526580000005197,5.063829999999143,5.562460000015562,6.130319999996573,6.6110200000111945,7.07850000000326,7.597550000005867,8.077019999996992,8.565000000002328,9.064130000013392,9.563675000012154,10.081529999995837]",space,0.344775,0.0,3.0,3.0,3.0,1.0,block_2/strong_t_119_4.wav,timbre,t,strong,119.0,2.380207574,12.24809873,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_81_4.wav,no,n,weak,81.0,2.484743178,17.5438815,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,space,2.42137,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.1266100000066217,2.9096800000115763,3.6748399999924004,4.374240000004647,5.13990000000922,5.891325000004144,6.759850000002189,7.598809999995865,8.388869999995222,9.296269999991637,10.089955000003101,10.862854999984847,11.66208499998902,12.423045000003185,13.174380000011297,13.936814999993658,14.74237500000163]",space,0.52771,0.0,0.0,0.0,36.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_92_3.wav,no,n,strong,92.0,1.754608557,14.24499404,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.41207000002032146,0.898475000023609,1.4501150000141934,2.145535000017844,2.7212799999979325,3.357785000000149,3.9808350000239443,4.634870000008959,5.250450000021374,5.935705000010785,6.495240000018384,7.094745000009425,7.72213500001817,8.298009999998612,8.9159450000152,9.533465000014985,10.18321499999729,10.814494999998715,11.500800000008894,12.112275000021327,12.781025000003865]",space,0.361945,0.0,1.0,1.0,39.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_72_4.wav,no,n,medium,72.0,1.204769933,15.71334136,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.6246650000102818,2.3248900000180583,3.0465250000124797,3.775114999996731,4.494260000006761,5.2153549999929965,6.067650000011781,6.811474999994971,7.527120000013383,8.270875000016531,8.97552999999607,9.696014999994077,10.409830000018701,11.076000000000931,11.878150000004098,12.609465000015916,13.340100000001257,14.060209999996005,14.82575000001816]",space,0.375305,0.0,2.0,2.0,7.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_81_4.wav,no,n,medium,81.0,1.742854158,16.25138024,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.7943899999954738,1.5155999999842606,2.2292299999971874,2.961494999995921,3.810815000004368,4.50946999998996,5.243149999994785,6.017789999983506,6.756824999989476,7.457139999984065,8.208374999987427,8.970029999996768,9.679814999981318,10.332774999988033,11.029240000003483,11.807600000000093,12.58006999999634,13.320485000003828,14.06623500000569,14.770495000004303]",space,0.299855,0.0,3.0,3.0,38.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_119_4.wav,no,n,medium,119.0,1.261396351,9.568471181,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.6010349999996834,3.0097399999795016,3.468380000005709,3.93171999999322,4.376424999994924,4.83924499998102,5.318754999985686,5.783209999994142,6.24215499998536,6.718085000000428,7.17633499999647,7.635999999998603,8.092204999993555,8.526714999985415]",space,0.272405,0.0,4.0,4.0,17.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_81_3.wav,no,n,strong,81.0,1.6043637,15.60930701,,,no,none,none,no,f,20,R,yes,1,2020-09-07_11h08.21.418,kura-A2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.344150000018999,1.0092850000073668,1.4948000000149477,2.2381400000012945,2.9353050000208896,3.650145000021439,4.3539549999986775,5.051060000027064,5.706630000000587,6.438475000002654,7.168340000003809,7.89802000002237,8.63043000001926,9.318970000022091,10.017619999998715,10.735330000024987,11.453940000006696,12.152700000006007,12.887905000010505,13.72642000002088,14.314024999999674]",space,0.301375,0.0,5.0,5.0,10.0,1.0,,,,,,,,,,,,,,
